# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	ALIGNMENT	CROSSIDS	TMP_STRUCTURE	TMP_TOKENS
9916	Achang_Longchuan	learn (v.)	85	ʑəŋ³¹	ʑ ə ŋ ³¹	158	i r t	ʑ əŋ ³¹
9919	Maru	learn (v.)	85	mɔ̱ʔ⁵⁵	ˀm ɔ ʔ ⁵⁵	159	i r t	ˀm ɔʔ ⁵⁵
#
2299	Achang_Longchuan	left	86	lɔʔ³¹nam³¹pa³¹	l ɔ ʔ ³¹ + n a m ³¹ + p a ³¹	160 161 162	i r t + i r t + i r t	l ɔʔ ³¹ + n am ³¹ + p a ³¹
2308	Maru	left	86	lɔʔ³¹ka̱uŋ³⁵	l ɔ ʔ ³¹ + ˀk au ŋ ³⁵	160 163	i r t + i r t	l ɔʔ ³¹ + ˀk auŋ ³⁵
#
2393	Achang_Longchuan	light (of weight)	87	ʑaŋ⁵⁵	ʑ a ŋ ⁵⁵	165	i r t	ʑ aŋ ⁵⁵
2397	Maru	light (of weight)	87	sum³⁵	s u m ³⁵	165	i r t	s um ³⁵
#
11364	Achang_Longchuan	line up (v.)	88	phaiʔ³¹	pʰ ai ʔ ³¹	166	i r t	pʰ aiʔ ³¹
11367	Maru	line up (v.)	88	phai³¹	ph ai - ³¹	166	i r t	ph ai ³¹
#
2444	Achang_Longchuan	long	89	səŋ⁵⁵	s ə ŋ ⁵⁵	167	i r t	s əŋ ⁵⁵
2453	Maru	long	89	xaŋ³¹	x a ŋ ³¹	167	i r t	x aŋ ³¹
#
9601	Achang_Longchuan	look like / resemble (v.)	90	tu⁵⁵	t u - ⁵⁵	168	i r t	t u ⁵⁵
9604	Maru	look like / resemble (v.)	90	tøʔ³¹	t ø ʔ ³¹	168	i r t	t øʔ ³¹
#
11284	Achang_Longchuan	lower (the head) (v.)	91	ŋop³⁵	ŋ o p ³⁵	169	i r t	ŋ op ³⁵
11287	Maru	lower (the head) (v.)	91	ŋa̱n³⁵	ˀŋ a n ³⁵	170	i r t	ˀŋ an ³⁵
#
11441	Achang_Longchuan	make (tea) (v.)	92	ʂun⁵⁵	ʂ u n ⁵⁵	171	i r t	ʂ un ⁵⁵
#
11264	Achang_Longchuan	make / cause (v.)	93	si⁵⁵	s i ⁵⁵	172	i r t	s i ⁵⁵
11267	Maru	make / cause (v.)	93	nɔ̱̃³¹	ˀn ɔ̃ ∼ ³¹	173	i r t	ˀn ɔ̃∼ ³¹
#
2504	Achang_Longchuan	many	94	ȵɔ³¹	ȵ ɔ ³¹	174	i r t	ȵ ɔ ³¹
2513	Maru	many	94	mjɔ³⁵	m j ɔ ³⁵	175	i m r t	mj j jɔ ³⁵
#
11039	Achang_Longchuan	marry (v.)	95	tsaŋ³¹i³¹ʂa⁵⁵	ts a ŋ ³¹ + /ʔ i - ³¹ + ʂ a ⁵⁵	176 177 178	i r t + i r t + i r t	ts aŋ ³¹ + ʔ i ³¹ + ʂ a ⁵⁵
11042	Maru	marry (v.)	95	mji³⁵fɔ̃⁵⁵	m j i ³⁵ + f ɔ̃ ∼ ⁵⁵	179 177	i m r t + i r t	mj j ji ³⁵ + f ɔ̃∼ ⁵⁵
#
6510	Achang_Longchuan	middle	96	a³¹kuŋ⁵⁵	/ʔ a ³¹ + k u ŋ ⁵⁵	152 181	i r t + i r t	ʔ a ³¹ + k uŋ ⁵⁵
6571	Maru	middle	96	a³¹kauŋ³⁵	/ʔ a ³¹ + k au ŋ ³⁵	152 181	i r t + i r t	ʔ a ³¹ + k auŋ ³⁵
#
6317	Maru	morning	97	nɛʔ³¹sum³¹	n ɛ ʔ ³¹ + s - u m ³¹	184 183	i r t + i r t	n ɛʔ ³¹ + s um ³¹
6534	Achang_Longchuan	morning	97	ni³¹ʐua³¹	n i ³¹ + ʐ u a - ³¹	182 183	i r t + i m r t	n i ³¹ + ʐu u ua ³¹
#
2741	Achang_Longchuan	narrow	98	ȵ̥ap⁵⁵	ȵ̥ a p ⁵⁵	185	i r t	ȵ̥ ap ⁵⁵
2745	Maru	narrow	98	tʃɛ̱ʔ⁵⁵	ˀtʃ ɛ ʔ ⁵⁵	186	i r t	ˀtʃ ɛʔ ⁵⁵
#
2774	Achang_Longchuan	near	99	ne³¹	n e ³¹	187	i r t	n e ³¹
